"Prøvedato";"Kommune kode";"Mistænkte positive antigen tests"
;492;0
;810;0
;825;0
2021-02-01;;1
2021-02-01;621;2
2021-02-01;860;1
2021-02-02;;1
2021-02-02;573;1
2021-02-03;461;1
2021-02-03;621;1
2021-02-04;621;1
2021-02-04;630;1
2021-02-05;420;1
2021-02-05;440;1
2021-02-06;;2
2021-02-06;101;1
2021-02-06;621;1
2021-02-07;;3
2021-02-07;430;1
2021-02-07;575;1
2021-02-07;630;1
2021-02-08;;5
2021-02-08;430;1
2021-02-08;751;1
2021-02-09;;1
2021-02-09;461;1
2021-02-09;563;1
2021-02-10;183;1
2021-02-10;330;1
2021-02-10;461;1
2021-02-10;621;2
2021-02-10;630;1
2021-02-11;;4
2021-02-11;440;1
2021-02-11;621;1
2021-02-12;;1
2021-02-12;253;1
2021-02-12;400;1
2021-02-12;479;1
2021-02-12;621;1
2021-02-12;730;1
2021-02-13;;2
2021-02-13;167;1
2021-02-13;461;1
2021-02-13;561;1
2021-02-13;621;1
2021-02-13;813;1
2021-02-14;;5
2021-02-14;253;3
2021-02-14;621;2
2021-02-15;;6
2021-02-15;101;1
2021-02-15;169;1
2021-02-15;185;1
2021-02-15;259;1
2021-02-15;330;1
2021-02-15;350;1
2021-02-15;370;1
2021-02-15;461;5
2021-02-15;615;1
2021-02-15;621;1
2021-02-15;657;1
2021-02-15;751;3
2021-02-16;;5
2021-02-16;101;2
2021-02-16;253;2
2021-02-16;259;1
2021-02-16;265;2
2021-02-16;350;1
2021-02-16;370;2
2021-02-16;661;1
2021-02-16;751;1
2021-02-16;851;1
2021-02-17;;4
2021-02-17;101;10
2021-02-17;147;2
2021-02-17;153;2
2021-02-17;159;1
2021-02-17;175;1
2021-02-17;183;2
2021-02-17;253;3
2021-02-17;259;1
2021-02-17;265;1
2021-02-17;320;1
2021-02-17;480;2
2021-02-17;580;2
2021-02-17;607;1
2021-02-17;621;1
2021-02-17;760;1
2021-02-17;791;1
2021-02-18;;6
2021-02-18;101;4
2021-02-18;183;1
2021-02-18;259;1
2021-02-18;330;1
2021-02-18;461;1
2021-02-18;621;1
2021-02-18;851;1
2021-02-19;;5
2021-02-19;147;1
2021-02-19;159;1
2021-02-19;161;1
2021-02-19;190;2
2021-02-19;217;2
2021-02-19;253;3
2021-02-19;259;1
2021-02-19;265;1
2021-02-19;329;1
2021-02-19;450;1
2021-02-19;461;4
2021-02-19;630;2
2021-02-19;751;1
2021-02-19;851;1
2021-02-19;860;1
2021-02-20;;6
2021-02-20;101;1
2021-02-20;223;1
2021-02-20;230;1
2021-02-20;510;1
2021-02-20;621;1
2021-02-20;630;1
2021-02-20;730;2
2021-02-20;740;1
2021-02-20;751;1
2021-02-20;813;1
2021-02-21;;10
2021-02-21;101;4
2021-02-21;159;1
2021-02-21;161;3
2021-02-21;165;1
2021-02-21;173;1
2021-02-21;175;1
2021-02-21;183;1
2021-02-21;219;1
2021-02-21;253;1
2021-02-21;259;1
2021-02-21;265;2
2021-02-21;320;1
2021-02-21;410;1
2021-02-21;461;1
2021-02-21;510;1
2021-02-21;621;3
2021-02-21;630;2
2021-02-21;851;1
2021-02-21;860;2
2021-02-22;;7
2021-02-22;101;2
2021-02-22;165;1
2021-02-22;169;1
2021-02-22;259;1
2021-02-22;329;2
2021-02-22;330;1
2021-02-22;350;1
2021-02-22;420;1
2021-02-22;461;3
2021-02-22;773;1
2021-02-22;851;1
2021-02-23;;3
2021-02-23;101;3
2021-02-23;147;1
2021-02-23;169;1
2021-02-23;173;2
2021-02-23;185;1
2021-02-23;190;1
2021-02-23;210;2
2021-02-23;217;1
2021-02-23;253;2
2021-02-23;260;1
2021-02-23;306;1
2021-02-23;316;1
2021-02-23;410;1
2021-02-23;461;1
2021-02-23;621;2
2021-02-23;630;2
2021-02-23;751;3
2021-02-23;779;1
2021-02-24;;4
2021-02-24;101;6
2021-02-24;153;1
2021-02-24;167;1
2021-02-24;169;2
2021-02-24;183;1
2021-02-24;190;1
2021-02-24;265;2
2021-02-24;350;1
2021-02-24;370;1
2021-02-24;510;1
2021-02-24;530;2
2021-02-24;607;1
2021-02-24;621;1
2021-02-24;630;1
2021-02-24;730;1
2021-02-24;740;1
2021-02-24;779;1
2021-02-24;860;1
2021-02-25;;2
2021-02-25;101;1
2021-02-25;147;1
2021-02-25;253;2
2021-02-25;259;1
2021-02-25;316;4
2021-02-25;329;1
2021-02-25;461;3
2021-02-25;510;1
2021-02-25;580;1
2021-02-25;621;1
2021-02-25;740;1
2021-02-25;751;2
2021-02-25;766;2
2021-02-25;846;3
2021-02-26;;5
2021-02-26;101;1
2021-02-26;147;1
2021-02-26;165;1
2021-02-26;183;1
2021-02-26;265;1
2021-02-26;461;3
2021-02-26;550;2
2021-02-26;621;2
2021-02-26;630;1
2021-02-26;766;1
2021-02-26;787;2
2021-02-26;851;2
2021-02-27;;8
2021-02-27;183;1
2021-02-27;265;1
2021-02-27;461;3
2021-02-27;580;1
2021-02-27;630;1
2021-02-27;657;2
2021-02-27;730;1
2021-02-27;751;3
2021-02-27;813;1
2021-02-28;;8
2021-02-28;101;2
2021-02-28;167;1
2021-02-28;169;1
2021-02-28;259;1
2021-02-28;265;1
2021-02-28;320;1
2021-02-28;561;1
2021-02-28;630;1
2021-02-28;707;1
2021-02-28;740;1
2021-02-28;751;1
2021-02-28;756;1
2021-02-28;846;1
2021-02-28;851;1
2021-03-01;;3
2021-03-01;101;1
2021-03-01;161;1
2021-03-01;260;1
2021-03-01;461;2
2021-03-01;540;1
2021-03-01;575;1
2021-03-01;615;1
2021-03-01;621;2
2021-03-01;630;1
2021-03-01;751;1
2021-03-01;849;1
2021-03-02;;2
2021-03-02;147;1
2021-03-02;165;1
2021-03-02;183;1
2021-03-02;253;1
2021-03-02;461;1
2021-03-02;561;1
2021-03-02;621;2
2021-03-02;710;1
2021-03-02;740;1
2021-03-02;751;1
2021-03-02;779;1
2021-03-02;791;1
2021-03-02;851;1
2021-03-03;;2
2021-03-03;101;1
2021-03-03;147;2
2021-03-03;165;1
2021-03-03;169;1
2021-03-03;217;2
2021-03-03;253;1
2021-03-03;259;3
2021-03-03;461;7
2021-03-03;510;1
2021-03-04;;3
2021-03-04;101;3
2021-03-04;147;3
2021-03-04;153;2
2021-03-04;169;1
2021-03-04;217;2
2021-03-04;253;1
2021-03-04;265;2
2021-03-04;370;1
2021-03-04;461;2
2021-03-04;615;1
2021-03-04;621;1
2021-03-04;657;1
2021-03-04;665;1
2021-03-04;671;1
2021-03-04;751;5
2021-03-04;766;1
2021-03-04;840;1
2021-03-04;851;1
2021-03-05;;12
2021-03-05;101;1
2021-03-05;151;1
2021-03-05;153;1
2021-03-05;169;1
2021-03-05;223;1
2021-03-05;253;1
2021-03-05;265;1
2021-03-05;370;2
2021-03-05;390;1
2021-03-05;430;1
2021-03-05;461;3
2021-03-05;561;1
2021-03-05;580;1
2021-03-05;707;1
2021-03-05;710;1
2021-03-05;730;1
2021-03-05;751;5
2021-03-05;791;1
2021-03-05;849;1
2021-03-06;;2
2021-03-06;101;3
2021-03-06;153;2
2021-03-06;157;1
2021-03-06;169;1
2021-03-06;210;1
2021-03-06;217;1
2021-03-06;320;1
2021-03-06;329;1
2021-03-06;461;3
2021-03-06;630;1
2021-03-06;661;1
2021-03-06;707;1
2021-03-06;751;3
2021-03-06;760;1
2021-03-06;773;1
2021-03-07;;5
2021-03-07;101;4
2021-03-07;153;2
2021-03-07;183;2
2021-03-07;210;2
2021-03-07;217;1
2021-03-07;230;1
2021-03-07;265;1
2021-03-07;316;1
2021-03-07;329;1
2021-03-07;410;1
2021-03-07;461;5
2021-03-07;580;2
2021-03-07;630;1
2021-03-07;740;1
2021-03-07;751;4
2021-03-07;791;1
2021-03-07;851;2
2021-03-08;;4
2021-03-08;101;1
2021-03-08;151;1
2021-03-08;153;2
2021-03-08;165;1
2021-03-08;173;1
2021-03-08;253;2
2021-03-08;330;1
2021-03-08;370;1
2021-03-08;561;1
2021-03-08;573;2
2021-03-08;730;2
2021-03-08;751;3
2021-03-08;779;1
2021-03-08;791;1
2021-03-08;846;2
2021-03-09;;2
2021-03-09;101;3
2021-03-09;147;1
2021-03-09;217;1
2021-03-09;253;1
2021-03-09;370;1
2021-03-09;376;1
2021-03-09;461;3
2021-03-09;561;1
2021-03-09;621;2
2021-03-09;751;1
2021-03-09;779;1
2021-03-09;846;1
2021-03-09;849;2
2021-03-10;;6
2021-03-10;101;3
2021-03-10;147;1
2021-03-10;167;1
2021-03-10;253;1
2021-03-10;329;1
2021-03-10;330;2
2021-03-10;461;1
2021-03-10;479;1
2021-03-10;561;2
2021-03-10;580;1
2021-03-10;615;2
2021-03-10;730;2
2021-03-10;741;1
2021-03-10;751;3
2021-03-10;791;1
2021-03-11;;5
2021-03-11;101;3
2021-03-11;153;2
2021-03-11;157;1
2021-03-11;165;1
2021-03-11;169;3
2021-03-11;217;1
2021-03-11;259;1
2021-03-11;329;2
2021-03-11;330;2
2021-03-11;390;1
2021-03-11;730;2
2021-03-11;751;2
2021-03-11;756;1
2021-03-11;773;1
2021-03-11;851;1
2021-03-12;;3
2021-03-12;147;2
2021-03-12;165;1
2021-03-12;169;1
2021-03-12;253;1
2021-03-12;265;1
2021-03-12;326;1
2021-03-12;330;7
2021-03-12;430;1
2021-03-12;461;4
2021-03-12;480;1
2021-03-12;510;3
2021-03-12;561;1
2021-03-12;630;1
2021-03-12;706;1
2021-03-12;730;2
2021-03-12;751;1
2021-03-12;756;3
2021-03-13;;6
2021-03-13;101;7
2021-03-13;163;1
2021-03-13;173;1
2021-03-13;210;1
2021-03-13;265;1
2021-03-13;306;1
2021-03-13;316;1
2021-03-13;326;1
2021-03-13;330;3
2021-03-13;340;1
2021-03-13;370;4
2021-03-13;376;1
2021-03-13;450;1
2021-03-13;561;2
2021-03-13;630;1
2021-03-13;661;1
2021-03-13;730;2
2021-03-13;751;2
2021-03-14;;7
2021-03-14;101;7
2021-03-14;161;1
2021-03-14;165;1
2021-03-14;169;1
2021-03-14;175;1
2021-03-14;183;1
2021-03-14;217;1
2021-03-14;306;1
2021-03-14;316;2
2021-03-14;400;1
2021-03-14;461;1
2021-03-14;510;2
2021-03-14;621;1
2021-03-14;630;1
2021-03-14;730;1
2021-03-14;751;1
2021-03-14;791;1
2021-03-15;;2
2021-03-15;101;6
2021-03-15;161;1
2021-03-15;165;1
2021-03-15;183;1
2021-03-15;187;2
2021-03-15;217;1
2021-03-15;230;1
2021-03-15;350;1
2021-03-15;370;2
2021-03-15;461;2
2021-03-15;510;3
2021-03-15;530;1
2021-03-15;615;1
2021-03-15;730;2
2021-03-15;751;2
2021-03-15;766;2
2021-03-15;820;1
2021-03-16;;10
2021-03-16;101;5
2021-03-16;153;1
2021-03-16;167;1
2021-03-16;175;1
2021-03-16;217;1
2021-03-16;253;2
2021-03-16;270;1
2021-03-16;329;1
2021-03-16;410;1
2021-03-16;430;1
2021-03-16;461;3
2021-03-16;510;1
2021-03-16;621;3
2021-03-16;630;2
2021-03-16;710;1
2021-03-16;730;2
2021-03-16;740;1
2021-03-16;751;6
2021-03-17;;8
2021-03-17;101;4
2021-03-17;153;1
2021-03-17;159;2
2021-03-17;167;1
2021-03-17;183;1
2021-03-17;217;1
2021-03-17;223;1
2021-03-17;253;1
2021-03-17;260;1
2021-03-17;269;1
2021-03-17;350;1
2021-03-17;461;3
2021-03-17;480;1
2021-03-17;510;2
2021-03-17;630;1
2021-03-17;740;2
2021-03-17;751;2
2021-03-17;851;1
2021-03-18;;3
2021-03-18;101;4
2021-03-18;151;1
2021-03-18;159;1
2021-03-18;169;1
2021-03-18;183;2
2021-03-18;187;1
2021-03-18;190;3
2021-03-18;210;2
2021-03-18;217;1
2021-03-18;253;1
2021-03-18;259;1
2021-03-18;320;1
2021-03-18;370;1
2021-03-18;461;7
2021-03-18;561;1
2021-03-18;621;1
2021-03-18;630;3
2021-03-18;657;3
2021-03-18;706;1
2021-03-18;740;2
2021-03-18;751;1
2021-03-18;787;1
2021-03-18;851;1
2021-03-19;;4
2021-03-19;101;3
2021-03-19;153;1
2021-03-19;155;1
2021-03-19;157;1
2021-03-19;159;1
2021-03-19;167;1
2021-03-19;169;2
2021-03-19;187;1
2021-03-19;259;1
2021-03-19;326;1
2021-03-19;461;1
2021-03-19;630;1
2021-03-19;657;1
2021-03-19;730;1
2021-03-19;740;1
2021-03-19;766;1
2021-03-19;787;1
2021-03-20;;5
2021-03-20;101;3
2021-03-20;147;2
2021-03-20;153;1
2021-03-20;217;1
2021-03-20;219;1
2021-03-20;330;1
2021-03-20;461;1
2021-03-20;510;2
2021-03-20;540;2
2021-03-20;630;1
2021-03-20;840;1
2021-03-21;;6
2021-03-21;101;8
2021-03-21;147;1
2021-03-21;190;1
2021-03-21;217;2
2021-03-21;259;2
2021-03-21;461;2
2021-03-21;479;1
2021-03-21;621;1
2021-03-21;630;4
2021-03-21;730;1
2021-03-22;;13
2021-03-22;101;3
2021-03-22;147;1
2021-03-22;151;2
2021-03-22;153;2
2021-03-22;167;2
2021-03-22;175;1
2021-03-22;219;1
2021-03-22;260;1
2021-03-22;265;1
2021-03-22;461;2
2021-03-22;561;1
2021-03-22;575;1
2021-03-22;630;2
2021-03-22;707;1
2021-03-22;730;4
2021-03-22;760;1
2021-03-22;791;1
2021-03-22;820;2
2021-03-23;;10
2021-03-23;101;2
2021-03-23;155;1
2021-03-23;159;3
2021-03-23;183;2
2021-03-23;265;1
2021-03-23;270;2
2021-03-23;329;1
2021-03-23;479;1
2021-03-23;510;1
2021-03-23;540;1
2021-03-23;615;2
2021-03-23;730;1
2021-03-23;751;1
2021-03-23;773;1
2021-03-23;787;1
2021-03-24;;6
2021-03-24;101;4
2021-03-24;147;1
2021-03-24;151;1
2021-03-24;159;2
2021-03-24;167;1
2021-03-24;175;1
2021-03-24;190;1
2021-03-24;210;2
2021-03-24;217;1
2021-03-24;253;1
2021-03-24;320;1
2021-03-24;329;1
2021-03-24;360;1
2021-03-24;461;3
2021-03-24;510;1
2021-03-24;615;1
2021-03-24;661;1
2021-03-24;751;1
2021-03-24;813;1
2021-03-25;;10
2021-03-25;101;8
2021-03-25;151;1
2021-03-25;159;3
2021-03-25;163;1
2021-03-25;167;1
2021-03-25;175;1
2021-03-25;183;1
2021-03-25;190;1
2021-03-25;210;1
2021-03-25;217;1
2021-03-25;219;1
2021-03-25;223;1
2021-03-25;316;1
2021-03-25;320;1
2021-03-25;561;1
2021-03-25;615;2
2021-03-25;630;1
2021-03-25;657;1
2021-03-25;730;1
2021-03-25;851;1
2021-03-26;;3
2021-03-26;101;10
2021-03-26;173;1
2021-03-26;253;1
2021-03-26;326;1
2021-03-26;330;1
2021-03-26;440;1
2021-03-26;461;1
2021-03-26;482;1
2021-03-26;561;1
2021-03-26;615;1
2021-03-26;630;3
2021-03-26;706;1
2021-03-26;730;2
2021-03-26;751;1
2021-03-27;;5
2021-03-27;101;1
2021-03-27;153;1
2021-03-27;157;1
2021-03-27;175;1
2021-03-27;183;1
2021-03-27;260;1
2021-03-27;420;5
2021-03-27;479;1
2021-03-27;621;1
2021-03-27;730;1
2021-03-27;849;1
2021-03-28;;10
2021-03-28;101;6
2021-03-28;161;1
2021-03-28;175;1
2021-03-28;183;1
2021-03-28;461;2
2021-03-28;573;1
2021-03-28;751;1
2021-03-28;760;1
2021-03-29;;16
2021-03-29;101;1
2021-03-29;147;1
2021-03-29;151;2
2021-03-29;157;1
2021-03-29;159;2
2021-03-29;250;1
2021-03-29;410;1
2021-03-29;461;3
2021-03-29;730;2
2021-03-29;849;1
2021-03-30;;14
2021-03-30;101;7
2021-03-30;151;1
2021-03-30;175;1
2021-03-30;183;2
2021-03-30;187;1
2021-03-30;190;1
2021-03-30;260;1
2021-03-30;306;1
2021-03-30;320;1
2021-03-30;360;2
2021-03-30;376;1
2021-03-30;400;1
2021-03-30;430;1
2021-03-30;461;2
2021-03-30;706;1
2021-03-30;730;2
2021-03-30;746;2
2021-03-30;751;1
2021-03-30;813;1
2021-03-31;;10
2021-03-31;101;1
2021-03-31;159;1
2021-03-31;169;1
2021-03-31;183;1
2021-03-31;370;1
2021-03-31;430;1
2021-03-31;575;1
2021-03-31;630;1
2021-03-31;756;1
2021-04-01;;10
2021-04-01;101;1
2021-04-01;147;2
2021-04-01;165;1
2021-04-01;185;2
2021-04-01;217;2
2021-04-01;223;1
2021-04-01;230;2
2021-04-01;615;1
2021-04-01;710;1
2021-04-01;846;1
2021-04-02;;5
2021-04-02;101;3
2021-04-02;153;1
2021-04-02;157;1
2021-04-02;163;1
2021-04-02;165;1
2021-04-02;217;2
2021-04-02;330;1
2021-04-02;360;1
2021-04-02;461;1
2021-04-02;580;1
2021-04-02;706;2
2021-04-02;846;1
2021-04-03;;8
2021-04-03;101;2
2021-04-03;183;3
2021-04-03;223;1
2021-04-03;250;1
2021-04-03;259;1
2021-04-03;265;1
2021-04-03;370;1
2021-04-03;461;2
2021-04-03;479;1
2021-04-03;657;3
2021-04-03;730;1
2021-04-04;;5
2021-04-04;101;3
2021-04-04;185;1
2021-04-04;253;1
2021-04-04;265;1
2021-04-04;329;1
2021-04-04;360;1
2021-04-04;630;1
2021-04-04;661;1
2021-04-04;741;1
2021-04-04;751;1
2021-04-05;;5
2021-04-05;101;8
2021-04-05;147;1
2021-04-05;157;1
2021-04-05;190;1
2021-04-05;201;1
2021-04-05;210;1
2021-04-05;217;1
2021-04-05;230;2
2021-04-05;326;2
2021-04-05;350;1
2021-04-05;479;1
2021-04-05;510;4
2021-04-05;540;1
2021-04-05;561;1
2021-04-05;607;1
2021-04-05;630;2
2021-04-05;671;1
2021-04-05;730;1
2021-04-05;766;1
2021-04-06;;10
2021-04-06;101;3
2021-04-06;153;1
2021-04-06;167;1
2021-04-06;169;1
2021-04-06;190;1
2021-04-06;201;1
2021-04-06;320;1
2021-04-06;330;2
2021-04-06;340;1
2021-04-06;657;1
2021-04-06;730;2
2021-04-06;740;2
2021-04-06;751;5
2021-04-06;760;1
2021-04-06;846;1
2021-04-07;;7
2021-04-07;101;3
2021-04-07;151;1
2021-04-07;173;1
2021-04-07;183;1
2021-04-07;201;1
2021-04-07;217;2
2021-04-07;230;1
2021-04-07;306;1
2021-04-07;657;1
2021-04-07;710;1
2021-04-07;851;1
2021-04-08;;5
2021-04-08;101;6
2021-04-08;159;2
2021-04-08;161;1
2021-04-08;169;4
2021-04-08;173;1
2021-04-08;175;1
2021-04-08;230;1
2021-04-08;265;1
2021-04-08;376;1
2021-04-08;400;1
2021-04-08;410;1
2021-04-08;461;1
2021-04-08;607;1
2021-04-08;615;1
2021-04-08;621;2
2021-04-08;630;1
2021-04-08;657;1
2021-04-08;661;1
2021-04-08;730;1
2021-04-08;756;1
2021-04-08;813;1
2021-04-08;851;1
2021-04-09;;4
2021-04-09;101;7
2021-04-09;155;1
2021-04-09;157;1
2021-04-09;161;1
2021-04-09;165;1
2021-04-09;173;1
2021-04-09;175;1
2021-04-09;217;1
2021-04-09;259;1
2021-04-09;260;2
2021-04-09;330;1
2021-04-09;340;1
2021-04-09;575;2
2021-04-09;707;1
2021-04-09;751;2
2021-04-09;851;2
2021-04-10;;8
2021-04-10;101;1
2021-04-10;175;1
2021-04-10;190;1
2021-04-10;217;2
2021-04-10;259;1
2021-04-10;329;1
2021-04-10;480;1
2021-04-10;573;2
2021-04-10;580;1
2021-04-10;751;2
2021-04-10;851;1
2021-04-11;;7
2021-04-11;101;5
2021-04-11;147;2
2021-04-11;153;1
2021-04-11;167;1
2021-04-11;173;1
2021-04-11;175;1
2021-04-11;183;1
2021-04-11;210;1
2021-04-11;217;1
2021-04-11;253;1
2021-04-11;259;1
2021-04-11;340;1
2021-04-11;420;1
2021-04-11;510;1
2021-04-11;615;1
2021-04-11;740;1
2021-04-11;787;1
2021-04-12;;8
2021-04-12;101;2
2021-04-12;147;1
2021-04-12;159;1
2021-04-12;161;2
2021-04-12;167;2
2021-04-12;183;1
2021-04-12;190;1
2021-04-12;217;1
2021-04-12;223;1
2021-04-12;230;1
2021-04-12;260;1
2021-04-12;316;2
2021-04-12;326;2
2021-04-12;370;1
2021-04-12;376;1
2021-04-12;420;1
2021-04-12;461;1
2021-04-12;530;1
2021-04-12;573;1
2021-04-12;727;1
2021-04-12;730;1
2021-04-12;746;1
2021-04-12;751;7
2021-04-12;766;1
2021-04-12;791;1
2021-04-12;846;1
2021-04-13;;5
2021-04-13;101;5
2021-04-13;153;1
2021-04-13;163;1
2021-04-13;167;1
2021-04-13;169;1
2021-04-13;173;1
2021-04-13;259;1
2021-04-13;270;1
2021-04-13;320;1
2021-04-13;326;1
2021-04-13;420;1
2021-04-13;561;1
2021-04-13;615;1
2021-04-13;657;1
2021-04-13;746;1
2021-04-13;751;6
2021-04-13;756;1
2021-04-13;820;1
2021-04-13;851;1
2021-04-14;;10
2021-04-14;101;10
2021-04-14;147;3
2021-04-14;151;1
2021-04-14;157;1
2021-04-14;159;1
2021-04-14;165;3
2021-04-14;167;1
2021-04-14;175;1
2021-04-14;210;1
2021-04-14;217;1
2021-04-14;240;1
2021-04-14;306;1
2021-04-14;326;3
2021-04-14;330;3
2021-04-14;360;2
2021-04-14;370;1
2021-04-14;376;3
2021-04-14;450;1
2021-04-14;461;1
2021-04-14;479;1
2021-04-14;480;1
2021-04-14;607;3
2021-04-14;630;1
2021-04-14;706;1
2021-04-14;730;2
2021-04-14;751;7
2021-04-14;760;2
2021-04-14;813;1
2021-04-14;820;1
2021-04-14;851;2
2021-04-14;860;1
2021-04-15;;8
2021-04-15;101;39
2021-04-15;147;5
2021-04-15;151;3
2021-04-15;157;1
2021-04-15;159;13
2021-04-15;161;2
2021-04-15;163;1
2021-04-15;165;3
2021-04-15;167;4
2021-04-15;169;2
2021-04-15;173;2
2021-04-15;175;1
2021-04-15;183;4
2021-04-15;187;2
2021-04-15;190;2
2021-04-15;201;1
2021-04-15;210;5
2021-04-15;217;2
2021-04-15;230;3
2021-04-15;240;1
2021-04-15;253;4
2021-04-15;259;10
2021-04-15;265;1
2021-04-15;269;1
2021-04-15;270;2
2021-04-15;320;1
2021-04-15;326;4
2021-04-15;329;6
2021-04-15;330;2
2021-04-15;336;3
2021-04-15;340;2
2021-04-15;350;1
2021-04-15;360;7
2021-04-15;370;1
2021-04-15;400;1
2021-04-15;410;1
2021-04-15;479;1
2021-04-15;561;1
2021-04-15;580;1
2021-04-15;615;5
2021-04-15;621;1
2021-04-15;657;10
2021-04-15;661;1
2021-04-15;665;1
2021-04-15;671;1
2021-04-15;706;1
2021-04-15;707;5
2021-04-15;710;1
2021-04-15;727;2
2021-04-15;730;3
2021-04-15;740;2
2021-04-15;746;1
2021-04-15;751;26
2021-04-15;756;2
2021-04-15;766;5
2021-04-15;779;2
2021-04-15;787;1
2021-04-15;791;2
2021-04-15;851;8
2021-04-15;860;2
